brand,model,parameter,value,unit,source_column,source
Bösendorfer,стандарт,Высота белых клавиш без облицовки над штульрамой,64,мм,4,Forss 2009
Aug. Förster,стандарт,Высота белых клавиш без облицовки над штульрамой,65,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Высота белых клавиш без облицовки над штульрамой,64,мм,7a,Forss 2009
Bechstein,стандарт,Высота белых клавиш с облицовкой над штульрамой,62,мм,2,Forss 2009
Blüthner,стандарт,Высота белых клавиш с облицовкой над штульрамой,72,мм,3a,Forss 2009
Aug. Förster,стандарт,Высота белых клавиш с облицовкой над штульрамой,67,мм,6,Forss 2009
Rud. Ibach,стандарт,Высота белых клавиш с облицовкой над штульрамой,66,мм,8,Forss 2009
Baldwin,стандарт,Высота черных клавиш над белыми,12.7,мм,1,Forss 2009
Bechstein,стандарт,Высота черных клавиш над белыми,12,мм,2,Forss 2009
Bösendorfer,стандарт,Высота черных клавиш над белыми,12.5,мм,4,Forss 2009
Fazioli,стандарт,Высота черных клавиш над белыми,12.5,мм,5,Forss 2009
Aug. Förster,стандарт,Высота черных клавиш над белыми,12,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Высота черных клавиш над белыми,12.5,мм,7a,Forss 2009
Baldwin,стандарт,Нажатая черная клавиша над ненажатой белой,3.2,мм,1,Forss 2009
Bechstein,стандарт,Нажатая черная клавиша над ненажатой белой,2.5,мм,2,Forss 2009
Bösendorfer,стандарт,Нажатая черная клавиша над ненажатой белой,2.5,мм,4,Forss 2009
Fazioli,стандарт,Нажатая черная клавиша над ненажатой белой,2.7,мм,5,Forss 2009
Aug. Förster,стандарт,Нажатая черная клавиша над ненажатой белой,2,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Нажатая черная клавиша над ненажатой белой,2.5,мм,7a,Forss 2009
Baldwin,стандарт,Возвышение середины клавиатуры над краями,0,мм,1,Forss 2009
Bösendorfer,стандарт,Возвышение середины клавиатуры над краями,0,мм,4,Forss 2009
Aug. Förster,стандарт,Возвышение середины клавиатуры над краями,0,мм,6,Forss 2009
Bechstein,стандарт,Друк белых клавиш,9.5,мм,2,Forss 2009
Blüthner,патентованная механика,Друк белых клавиш,9.00,мм,3b,Forss 2009
Bösendorfer,стандарт,Друк белых клавиш,10.3,мм,4,Forss 2009
Fazioli,стандарт,Друк белых клавиш,10.0,мм,5,Forss 2009
Aug. Förster,стандарт,Друк белых клавиш,10,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Друк белых клавиш,10,мм,7a,Forss 2009
Rud. Ibach,стандарт,Друк белых клавиш,10,мм,8,Forss 2009
Baldwin,стандарт,Друк черных клавиш,9.5,мм,1,Forss 2009
Bechstein,стандарт,Друк черных клавиш,9.5,мм,2,Forss 2009
Blüthner,стандарт,Друк черных клавиш,10,мм,3a,Forss 2009
Blüthner,патентованная механика,Друк черных клавиш,9.00,мм,3b,Forss 2009
Bösendorfer,стандарт,Друк черных клавиш,10.3,мм,4,Forss 2009
Fazioli,стандарт,Друк черных клавиш,9.8,мм,5,Forss 2009
Grotrian-Steinweg,стандарт,Друк черных клавиш,10,мм,7a,Forss 2009
Rud. Ibach,стандарт,Друк черных клавиш,10,мм,8,Forss 2009
Baldwin,стандарт,Штульрама плоская или с возвышением,0,мм,1,Forss 2009
Bösendorfer,стандарт,Штульрама плоская или с возвышением,0,мм,4,Forss 2009
Aug. Förster,стандарт,Штульрама плоская или с возвышением,0,мм,6,Forss 2009
Bösendorfer,стандарт,Люфт клавиш на средних и передних штифтах,0.2,мм,4,Forss 2009
Baldwin,стандарт,Расстояние между осями фигур и молотков,112.3,мм,1,Forss 2009
Bösendorfer,стандарт,Расстояние между осями фигур и молотков,113.5,мм,4,Forss 2009
Aug. Förster,стандарт,Расстояние между осями фигур и молотков,114,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Расстояние между осями фигур и молотков,114,мм,7a,Forss 2009
Grotrian-Steinweg,ранние механики,Расстояние между осями фигур и молотков,105,мм,7b,Forss 2009
Baldwin,стандарт,Штейнунг,47.6,мм,1,Forss 2009
Bechstein,стандарт,Штейнунг,45-47,мм,2,Forss 2009
Blüthner,стандарт,Штейнунг,45,мм,3a,Forss 2009
Blüthner,патентованная механика,Штейнунг,45,мм,3b,Forss 2009
Bösendorfer,стандарт,Штейнунг,46,мм,4,Forss 2009
Fazioli,стандарт,Штейнунг,47,мм,5,Forss 2009
Aug. Förster,стандарт,Штейнунг,45,мм,6,Forss 2009
Grotrian-Steinweg,стандарт,Штейнунг,45,мм,7a,Forss 2009
Grotrian-Steinweg,ранние механики,Штейнунг,45,мм,7b,Forss 2009
Rud. Ibach,стандарт,Штейнунг,45,мм,8,Forss 2009
Baldwin,стандарт,Расстояние от гаммерштилей до польстера рулейстика,3.2,мм,1,Forss 2009
Bechstein,стандарт,Расстояние от гаммерштилей до польстера рулейстика,2-3,мм,2,Forss 2009
Blüthner,патентованная механика,Расстояние от гаммерштилей до польстера рулейстика,0,мм,3b,Forss 2009
Bösendorfer,стандарт,Расстояние от гаммерштилей до польстера рулейстика,3,мм,4,Forss 2009
Aug. Förster,стандарт,Расстояние от гаммерштилей до польстера рулейстика,2-3,мм,6,Forss 2009
Baldwin,стандарт,Расстояние ауслезунга в басах,1.6,мм,1,Forss 2009
Bechstein,стандарт,Расстояние ауслезунга в басах,2,мм,2,Forss 2009
Blüthner,стандарт,Расстояние ауслезунга в басах,3,мм,3a,Forss 2009
Blüthner,патентованная механика,Расстояние ауслезунга в басах,3,мм,3b,Forss 2009
Bösendorfer,стандарт,Расстояние ауслезунга в басах,1.5,мм,4,Forss 2009
