brand,model,column,parameter,value,unit,source
Baldwin,стандарт,1,РСІ УЛИРОВОЧНЫЙ ПАРАМЕТР,1,,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,РСІ УЛИРОВОЧНЫЙ ПАРАМЕТР,2,,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,РСІ УЛИРОВОЧНЫЙ ПАРАМЕТР,4,,tmp_forss/crops/p1_right_table.png.tsv
Fazioli,стандарт,5,РСІ УЛИРОВОЧНЫЙ ПАРАМЕТР,5,,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,РСІ УЛИРОВОЧНЫЙ ПАРАМЕТР,6,,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Высота белых клавиш без облицовки над штульрамой,64,,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Высота белых клавиш без облицовки над штульрамой,65,,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Высота белых клавиш без облицовки над штульрамой,64,,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Высота белых клавиш с облицовкой над штульрамой,62,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,стандарт,3a,Высота белых клавиш с облицовкой над штульрамой,720,мм,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Высота белых клавиш с облицовкой над штульрамой,67*,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Высота черных клавиш над белыми,12.7,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Высота черных клавиш над белыми,12,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Высота черных клавиш над белыми,12.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Fazioli,стандарт,5,Высота черных клавиш над белыми,12.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Высота черных клавиш над белыми,12,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Высота черных клавиш над белыми,12.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Нажатая черная клавиша над ненажатой белой,3.2,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Нажатая черная клавиша над ненажатой белой,2.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Нажатая черная клавиша над ненажатой белой,2.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Fazioli,стандарт,5,Нажатая черная клавиша над ненажатой белой,2.7,мм,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Нажатая черная клавиша над ненажатой белой,2,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Нажатая черная клавиша над ненажатой белой,2.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,"Возвышение середины клавиатуры над краями (мм) Высота фильца на задних кромках клавиш для подьема демпферов, относительно штульрамы",0,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,"Возвышение середины клавиатуры над краями (мм) Высота фильца на задних кромках клавиш для подьема демпферов, относительно штульрамы",0,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Друк белых клавиш,9.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,патентованная механика,3b,Друк белых клавиш,9.00,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Друк белых клавиш,10.3,мм,tmp_forss/crops/p1_right_table.png.tsv
Fazioli,стандарт,5,Друк белых клавиш,10.0,мм,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Друк белых клавиш,10*,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Друк белых клавиш,10,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Друк черных клавиш,9.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Друк черных клавиш,9.5,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,стандарт,3a,Друк черных клавиш,10,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,патентованная механика,3b,Друк черных клавиш,9.00,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Друк черных клавиш,10.3,мм,tmp_forss/crops/p1_right_table.png.tsv
Fazioli,стандарт,5,Друк черных клавиш,9.8,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Друк черных клавиш,10,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Штульрама плоская или с возвышением,0,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Штульрама плоская или с возвышением,0,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Люфт клавиш на средних и передних штифтах,0.2,,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,ранние механики,7b,Люфт клавиш на средних и передних штифтах,105,,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Расстояние между осями фигур и молотков,112.3,,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Расстояние между осями фигур и молотков,113.5,,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Расстояние между осями фигур и молотков,114,,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Расстояние между осями фигур и молотков,114,,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Расстояние между осями фигур и молотков,45,,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,ранние механики,7b,Расстояние между осями фигур и молотков,45,,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Штейнунг,47.6,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,стандарт,3a,Штейнунг,45,мм,tmp_forss/crops/p1_right_table.png.tsv
Blüthner,патентованная механика,3b,Штейнунг,45,мм,tmp_forss/crops/p1_right_table.png.tsv
Bösendorfer,стандарт,4,Штейнунг,46,мм,tmp_forss/crops/p1_right_table.png.tsv
Fazioli,стандарт,5,Штейнунг,47,мм,tmp_forss/crops/p1_right_table.png.tsv
Aug. Förster,стандарт,6,Штейнунг,45,мм,tmp_forss/crops/p1_right_table.png.tsv
Grotrian-Steinweg,стандарт,7a,Штейнунг,45,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Штейнунг,47,мм,tmp_forss/crops/p1_right_table.png.tsv
Baldwin,стандарт,1,Расстояние от гаммерштилей до польстера рулейстика,3.2,мм,tmp_forss/crops/p1_right_table.png.tsv
Bechstein,стандарт,2,Расстояние от гаммерштилей до польстера рулейстика,2-3,мм,tmp_forss/crops/p1_right_table.png.tsv
